time_s,x_m,y_m,yaw_rad,front_distance_m,left_distance_m,right_distance_m
57.631591494,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7419719099998474,inf,inf
57.731986982,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7588470578193665,inf,inf
57.838702988,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7501973509788513,inf,inf
57.941753084,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7491186261177063,inf,inf
58.04177027,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7554000616073608,inf,inf
58.143638463,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7487322688102722,inf,inf
58.244560152,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.747589647769928,inf,inf
58.345544908,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7634974718093872,inf,inf
58.446736377,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7396300435066223,inf,inf
58.550049744,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7554709911346436,inf,inf
58.650237211,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7445947527885437,inf,inf
58.752410279,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7413540482521057,inf,inf
58.853747646,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7396907210350037,inf,inf
58.955679213,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7594097256660461,inf,inf
59.056833081,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7557790875434875,inf,inf
59.159840748,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.747381329536438,inf,inf
59.265662514,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7610176801681519,inf,inf
59.364880282,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7442944049835205,inf,inf
59.467618649,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7549094557762146,inf,inf
59.569914414,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7450528144836426,inf,inf
59.67333938,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7495264410972595,inf,inf
59.774402046,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7562375068664551,inf,inf
59.874532913,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.753544270992279,inf,inf
59.976969978,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7521064281463623,inf,inf
60.080954444,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7600646615028381,inf,inf
60.18319641,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7519319653511047,inf,inf
60.284980676,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7445231676101685,inf,inf
60.387213841,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7567132711410522,inf,inf
60.485702808,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7530835866928101,inf,inf
60.588086673,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7644309401512146,inf,inf
60.690140237,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7516145706176758,inf,inf
60.790240203,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7523301839828491,inf,inf
60.894039967,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7480720281600952,inf,inf
60.993377232,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7471978664398193,inf,inf
61.097556596,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.740478515625,inf,inf
61.199735961,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7483606934547424,inf,inf
61.300281026,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7427318692207336,inf,inf
61.40483489,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7491660118103027,inf,inf
61.511815452,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7592282295227051,inf,inf
61.613168016,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7453941106796265,inf,inf
61.715614579,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7561988234519958,inf,inf
61.817644142,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7658889889717102,inf,inf
61.918402706,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7470600605010986,inf,inf
62.021111069,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7388077974319458,inf,inf
62.122033133,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7487778067588806,inf,inf
62.224311196,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.748798668384552,inf,inf
62.32599966,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7499830722808838,inf,inf
62.425808724,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7580806016921997,inf,inf
62.526426587,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7484695911407471,inf,inf
62.628347249,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7580820322036743,inf,inf
62.730919411,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.751497745513916,inf,inf
62.831698874,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7499700784683228,inf,inf
62.937745934,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7507449984550476,inf,inf
63.038300697,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.753396213054657,inf,inf
63.13892276,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7576783895492554,inf,inf
63.242620121,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7519844770431519,inf,inf
63.344221683,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7512595057487488,inf,inf
63.448866445,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7440891861915588,inf,inf
63.551811605,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.752167820930481,inf,inf
63.652509167,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7621497511863708,inf,inf
63.753384628,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7599104046821594,inf,inf
63.85330459,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7537150382995605,inf,inf
63.95595795,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7372954487800598,inf,inf
64.057316011,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7516101598739624,inf,inf
64.159042975,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7498778700828552,inf,inf
64.260132157,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7604250311851501,inf,inf
64.364420141,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7439550757408142,inf,inf
64.470568427,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7454245686531067,inf,inf
64.575630411,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7579540610313416,inf,inf
64.677213992,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7585172057151794,inf,inf
64.777786572,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7605212926864624,inf,inf
64.879196553,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7474161982536316,inf,inf
64.981319335,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7478268146514893,inf,inf
65.086341919,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7558905482292175,inf,inf
65.1880859,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7380761504173279,inf,inf
65.290757782,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.75017911195755,inf,inf
65.393334964,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7535108923912048,inf,inf
65.494354144,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7499104738235474,inf,inf
65.595233723,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7558695673942566,inf,inf
65.695636202,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7488394379615784,inf,inf
65.797925782,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7516815066337585,inf,inf
65.902889565,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7539839148521423,inf,inf
66.003776444,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7460017204284668,inf,inf
66.110588628,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7537352442741394,inf,inf
66.210983607,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7467465996742249,inf,inf
66.313224287,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7504907846450806,inf,inf
66.413084066,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7461727857589722,inf,inf
66.516547047,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7577342987060547,inf,inf
66.617993425,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7569332718849182,inf,inf
66.721738805,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7416422367095947,inf,inf
66.824448385,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7555587291717529,inf,inf
66.923200861,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7546316385269165,inf,inf
67.024273539,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7409376502037048,inf,inf
67.129905721,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7473551034927368,inf,inf
67.233054501,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7553576231002808,inf,inf
67.334171609,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.749440610408783,inf,inf
67.434698385,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7519757151603699,inf,inf
67.53633356,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7521814107894897,inf,inf
67.638734134,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7530074715614319,inf,inf
67.738309309,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7526556849479675,inf,inf
67.842139982,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7508112192153931,inf,inf
67.946262156,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.754292905330658,inf,inf
68.046673131,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.75322026014328,inf,inf
68.147527805,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7494333982467651,inf,inf
68.249837079,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.764541506767273,inf,inf
68.355205653,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7451872825622559,inf,inf
68.455661727,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7531194686889648,inf,inf
68.5575931,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7546342611312866,inf,inf
68.661586673,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7569422721862793,inf,inf
68.762726646,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7492396235466003,inf,inf
68.864410819,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7499170303344727,inf,inf
68.968804391,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.755500853061676,inf,inf
69.070315964,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7478626370429993,inf,inf
69.172272737,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7573462128639221,inf,inf
69.272749711,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7534362077713013,inf,inf
69.373244684,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7494280338287354,inf,inf
69.475314157,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7534251809120178,inf,inf
69.575051129,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7501463890075684,inf,inf
69.676303001,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7522111535072327,inf,inf
69.781127672,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7384651899337769,inf,inf
69.882383644,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7594786882400513,inf,inf
69.982530016,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7480207681655884,inf,inf
70.089910587,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7519906163215637,inf,inf
70.190645959,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7470473647117615,inf,inf
70.292166931,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7557158470153809,inf,inf
70.395822102,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7504271268844604,inf,inf
70.497411373,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7478585839271545,inf,inf
70.599103644,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7482699155807495,inf,inf
70.700999015,-0.036229074001312256,-0.18741852045059204,-4.083539062449404e-15,0.7470604181289673,inf,inf
